sci_name,category,category_pt,risco
Tarsius fuscus,VU,Vulnerável,Alto Risco
Nycticebus menagensis,VU,Vulnerável,Alto Risco
Nycticebus kayan,VU,Vulnerável,Alto Risco
Nycticebus bancanus,CR,Criticamente Ameaçado,Alto Risco
Nycticebus borneanus,VU,Vulnerável,Alto Risco
Nycticebus coucang,EN,Em Perigo,Alto Risco
Nycticebus hilleri,EN,Em Perigo,Alto Risco
Cheirogaleus shethi,EN,Em Perigo,Alto Risco
Cheirogaleus crossleyi,VU,Vulnerável,Alto Risco
Cheirogaleus andysabini,EN,Em Perigo,Alto Risco
Cheirogaleus grovesi,DD,Dados Insuficientes,Desconhecido
Cheirogaleus lavasoensis,EN,Em Perigo,Alto Risco
Cheirogaleus thomasi,EN,Em Perigo,Alto Risco
Cheirogaleus medius,VU,Vulnerável,Alto Risco
Microcebus tanosi,EN,Em Perigo,Alto Risco
Microcebus ganzhorni,EN,Em Perigo,Alto Risco
Microcebus manitatra,CR,Criticamente Ameaçado,Alto Risco
Microcebus boraha,DD,Dados Insuficientes,Desconhecido
Microcebus murinus,LC,Pouco Preocupante,Baixo Risco
Microcebus simmonsi,EN,Em Perigo,Alto Risco
Galagoides kumbirensis,NT,Quase Ameaçado,Médio Risco
Semnopithecus hypoleucos,LC,Pouco Preocupante,Baixo Risco
Semnopithecus priam,NT,Quase Ameaçado,Médio Risco
Mico munduruku,VU,Vulnerável,Alto Risco
Plecturocebus grovesi,CR,Criticamente Ameaçado,Alto Risco
Plecturocebus parecis,NT,Quase Ameaçado,Médio Risco
Sapajus apella,LC,Pouco Preocupante,Baixo Risco
Erythrocebus patas,NT,Quase Ameaçado,Médio Risco
Presbytis hosei,VU,Vulnerável,Alto Risco
Trachypithecus phayrei,EN,Em Perigo,Alto Risco
Trachypithecus popa,CR,Criticamente Ameaçado,Alto Risco
Microcebus jonahi,EN,Em Perigo,Alto Risco
Alouatta macconnelli,LC,Pouco Preocupante,Baixo Risco
Alouatta seniculus,LC,Pouco Preocupante,Baixo Risco
Macaca leucogenys,EN,Em Perigo,Alto Risco
Trachypithecus selangorensis,NT,Quase Ameaçado,Médio Risco
Mico schneideri,EN,Em Perigo,Alto Risco
Microcebus lehilahytsara,NT,Quase Ameaçado,Médio Risco
Lepilemur dorsalis,EN,Em Perigo,Alto Risco
Presbytis comata,VU,Vulnerável,Alto Risco
Cheracebus torquatus,LC,Pouco Preocupante,Baixo Risco
Chlorocebus pygerythrus,LC,Pouco Preocupante,Baixo Risco
Chlorocebus aethiops,LC,Pouco Preocupante,Baixo Risco
Cacajao amuna,LC,Pouco Preocupante,Baixo Risco
Xanthonycticebus pygmaeus,EN,Em Perigo,Alto Risco
Xanthonycticebus intermedius,EN,Em Perigo,Alto Risco
