Feature,Importância
centroid_lon,0.2693356412516747
area_km2,0.1877427501122485
centroid_lat,0.1651177798154412
perimeter_km,0.138939742972453
fragmentation_index,0.1357369865348843
continent_code,0.10312709931329823
